SNID,redshift,type,code,sample
3178.0,0.7169462,IIn,42.0,train
58.0,0.24532807,IIn,42.0,train
4830.0,0.42650145,II_V19,42.0,train
2063.0,0.35228243,II-NMF,42.0,train
5876.0,0.32050645,II-NMF,42.0,train
7.0,0.1901132,IIn,42.0,train
6911.0,0.36934018,II_V19,42.0,train
5983.0,0.6292751999999999,II_V19,42.0,train
4417.0,0.22850597,II-NMF,42.0,train
7703.0,0.2965625,II-NMF,42.0,train
4336.0,0.3221528,II-NMF,42.0,train
2376.0,0.5841765999999999,II_V19,42.0,train
4327.0,0.8214135,II_V19,42.0,train
7166.0,0.22830327,II-NMF,42.0,train
1492.0,0.28095648,IIn,42.0,train
4282.0,0.2531349,II-NMF,42.0,train
3372.0,0.29459012,II-NMF,42.0,train
401.0,0.48217297,II_V19,42.0,train
3192.0,0.7010305,II_V19,42.0,train
1185.0,0.32853168,II-NMF,42.0,train
7505.0,0.26924294,II-NMF,42.0,train
8546.0,0.55460584,II_V19,42.0,train
7558.0,0.34757483,II-NMF,42.0,train
7476.0,0.47294837,II_V19,42.0,train
2505.0,0.27229732,IIn,42.0,train
3973.0,0.81012195,II_V19,42.0,train
6250.0,0.3759113,II-NMF,42.0,train
6659.0,0.5595535,IIn,42.0,train
4557.0,0.36231902,II-NMF,42.0,train
3004.0,1.0290415000000002,IIn,42.0,train
4969.0,0.30806422,II-NMF,42.0,train
6319.0,0.10561507,IIn,42.0,train
2645.0,0.79450554,II_V19,42.0,train
4577.0,0.33743748,II-NMF,42.0,train
1698.0,0.07152729,IIn,42.0,train
1533.0,0.74418014,II_V19,42.0,train
3440.0,0.2543711,II_V19,42.0,train
1645.0,0.5758691999999999,II_V19,42.0,train
1524.0,0.16513329999999998,II-NMF,42.0,train
4301.0,0.4304421,II_V19,42.0,train
4807.0,0.12862867,IIn,42.0,train
6359.0,0.50739384,II_V19,42.0,train
1765.0,0.28542477,II-NMF,42.0,train
2283.0,0.19154525,IIn,42.0,train
3246.0,0.19128783,II-NMF,42.0,train
7227.0,0.65458155,II_V19,42.0,train
6453.0,0.4475784,II-NMF,42.0,train
6395.0,0.41726562,II-NMF,42.0,train
316.0,0.27238467,II-NMF,42.0,train
6461.0,0.584545,II_V19,42.0,train
6308.0,0.5226377999999999,IIn,42.0,train
2106.0,0.22838472,II-NMF,42.0,train
812.0,0.13834651,IIn,42.0,train
6774.0,0.16948941,II-NMF,42.0,train
51.0,0.8199706,IIn,42.0,train
1124.0,0.60717946,IIn,42.0,train
2192.0,0.16844589,II-NMF,42.0,train
4333.0,0.7783188,II_V19,42.0,train
1213.0,0.52054685,II_V19,42.0,train
2636.0,0.27356154,II-NMF,42.0,train
8378.0,0.37325037,IIn,42.0,train
8276.0,0.2853228,II-NMF,42.0,train
7241.0,0.19363186,II-NMF,42.0,train
2834.0,0.36117366,II_V19,42.0,train
3410.0,0.5978398,II_V19,42.0,train
7126.0,0.7013905,II_V19,42.0,train
590.0,0.37683615,IIn,42.0,train
7083.0,0.35586882,II-NMF,42.0,train
8398.0,0.5997303,IIn,42.0,train
4562.0,0.29243454,II-NMF,42.0,train
5706.0,0.28504357,II-NMF,42.0,train
8764.0,0.27677834,IIn,42.0,train
302.0,0.6138826999999999,IIn,42.0,train
1665.0,0.40326932,IIn,42.0,train
1592.0,0.4646003,IIn,42.0,train
6753.0,0.4263262,II-NMF,42.0,train
5646.0,0.45541486,II_V19,42.0,train
4408.0,0.5349558000000001,II_V19,42.0,train
4116.0,0.66535175,IIn,42.0,train
1207.0,0.5452718000000001,II_V19,42.0,train
8887.0,0.56898457,II_V19,42.0,train
6086.0,0.3006862,II_V19,42.0,train
1597.0,0.78045696,II_V19,42.0,train
4821.0,0.48676556,II_V19,42.0,train
642.0,0.35617957,II-NMF,42.0,train
3766.0,0.5736599,II_V19,42.0,train
6432.0,0.24517743,II_V19,42.0,train
7118.0,0.39032403,II-NMF,42.0,train
2277.0,0.5416634,II_V19,42.0,train
5536.0,0.57857054,IIn,42.0,train
7645.0,1.124302,IIn,42.0,train
2554.0,0.37460968,II-NMF,42.0,train
5815.0,0.23815611,IIn,42.0,train
856.0,0.22253174,II-NMF,42.0,train
2466.0,0.3945499,II_V19,42.0,train
685.0,0.16414383,IIn,42.0,train
4413.0,0.18644696,II_V19,42.0,train
7488.0,0.3728058,II_V19,42.0,train
6600.0,0.53357524,IIn,42.0,train
3486.0,0.20665538,IIn,42.0,train
5276.0,0.40039575,IIn,42.0,train
2391.0,0.24076776,II_V19,42.0,train
5650.0,0.26738667,II-NMF,42.0,train
5085.0,0.6883090999999999,II_V19,42.0,train
3724.0,0.24542038,IIn,42.0,train
2151.0,0.6352748,IIn,42.0,train
1132.0,0.55310994,IIn,42.0,train
6474.0,0.26144248,II-NMF,42.0,train
4984.0,0.8303451,II_V19,42.0,train
5284.0,0.7713797,II_V19,42.0,train
3844.0,0.09274513,II-NMF,42.0,train
2643.0,0.46557513,II_V19,42.0,train
4374.0,0.18457541,II-NMF,42.0,train
3632.0,0.2954638,II-NMF,42.0,train
8154.0,0.32561064,II-NMF,42.0,train
8517.0,0.53827065,II_V19,42.0,train
937.0,0.6313356,II_V19,42.0,train
351.0,0.9871569,IIn,42.0,train
3162.0,0.6675837,II_V19,42.0,train
7635.0,0.7935786,IIn,42.0,train
4071.0,0.025118306,II_V19,42.0,train
3539.0,0.66747856,II_V19,42.0,train
6686.0,0.16879593,IIn,42.0,train
1577.0,0.48603612,IIn,42.0,train
3598.0,0.37326247,II_V19,42.0,train
6382.0,0.5245859,II_V19,42.0,train
7736.0,0.20917389,II-NMF,42.0,train
7174.0,0.25748068,II-NMF,42.0,train
8901.0,0.35864505,II_V19,42.0,train
7800.0,0.7101460999999999,II_V19,42.0,train
1751.0,0.07960213,II-NMF,42.0,train
4175.0,0.28059468,II-NMF,42.0,train
169.0,0.21909846,II_V19,42.0,train
3897.0,0.6258821,II_V19,42.0,train
8726.0,0.6617144,IIn,42.0,train
8414.0,0.1233079,II_V19,42.0,train
2276.0,0.09961496,II_V19,42.0,train
297.0,0.7125968,II_V19,42.0,train
7866.0,0.11625259,II_V19,42.0,train
5246.0,0.40026402,II-NMF,42.0,train
4668.0,0.2522782,II_V19,42.0,train
4118.0,0.79741406,IIn,42.0,train
5786.0,0.82491326,IIn,42.0,train
8634.0,0.2546957,II-NMF,42.0,train
6838.0,0.5885963000000001,IIn,42.0,train
8580.0,0.099735655,IIn,42.0,train
5640.0,0.25000727,II-NMF,42.0,train
739.0,0.36487356,IIn,42.0,train
7962.0,0.9346466999999998,IIn,42.0,train
2825.0,0.23683143,IIn,42.0,train
2928.0,0.31707767,II-NMF,42.0,train
3217.0,0.5932164000000001,II_V19,42.0,train
3752.0,0.8824163,II_V19,42.0,train
3331.0,0.5146980999999999,IIn,42.0,train
7945.0,0.6783170999999999,II_V19,42.0,train
1942.0,0.26766565,II-NMF,42.0,train
6826.0,0.21766163,II-NMF,42.0,train
8337.0,0.3739142,II_V19,42.0,train
325.0,0.22894676,II_V19,42.0,train
6070.0,0.6510074,IIn,42.0,train
3758.0,0.3021883,IIn,42.0,train
4800.0,0.22602504,II-NMF,42.0,train
3643.0,0.4361797000000001,II_V19,42.0,train
8363.0,0.7196445,IIn,42.0,train
5407.0,0.4246179,II_V19,42.0,train
7401.0,0.2612505,II-NMF,42.0,train
4552.0,0.88424605,IIn,42.0,train
1762.0,0.43514785,IIn,42.0,train
8085.0,0.46129942,IIn,42.0,train
536.0,0.35659683,IIn,42.0,train
3087.0,0.8892366,II_V19,42.0,train
6436.0,0.7664042,IIn,42.0,train
181.0,0.4796148,II_V19,42.0,train
5720.0,0.5151365,II_V19,42.0,train
3824.0,0.3007933,II_V19,42.0,train
4869.0,0.21031691,II-NMF,42.0,train
7783.0,0.42133495,IIn,42.0,train
537.0,0.2531795,II-NMF,42.0,train
2618.0,0.53186876,II_V19,42.0,train
5412.0,0.4872707000000001,IIn,42.0,train
3420.0,0.28481194,II_V19,42.0,train
8699.0,0.62742525,II_V19,42.0,train
1661.0,0.15341039,II-NMF,42.0,train
6515.0,0.27603653,II-NMF,42.0,train
5612.0,0.15540221,II-NMF,42.0,train
7683.0,0.33491084,II-NMF,42.0,train
886.0,0.6130098,II_V19,42.0,train
4016.0,0.34556463,II_V19,42.0,train
809.0,0.40436468,IIn,42.0,train
219.0,0.26606068,II-NMF,42.0,train
3014.0,0.9122651,IIn,42.0,train
6053.0,0.43474913,II_V19,42.0,train
2882.0,0.26651302,II-NMF,42.0,train
5094.0,0.7087219,II_V19,42.0,train
4491.0,0.361559,II-NMF,42.0,train
6599.0,0.26830807,II-NMF,42.0,train
7097.0,0.14131682,II-NMF,42.0,train
3208.0,0.4020602,II-NMF,42.0,train
6473.0,0.44745347,II_V19,42.0,train
6805.0,0.5093702999999999,II_V19,42.0,train
1251.0,0.3046815,II_V19,42.0,train
6813.0,0.21256854,II-NMF,42.0,train
5475.0,0.37702057,IIn,42.0,train
6543.0,0.69184846,II_V19,42.0,train
7928.0,0.21656747,II-NMF,42.0,train
8504.0,0.17790128,II-NMF,42.0,train
6221.0,0.05601624400000002,II-NMF,42.0,train
8331.0,0.5027012,II_V19,42.0,train
2440.0,0.3291068,II-NMF,42.0,train
747.0,0.30340225,II_V19,42.0,train
1031.0,0.24287133,II-NMF,42.0,train
7666.0,0.33153590000000005,II-NMF,42.0,train
8492.0,0.36550248,II-NMF,42.0,train
2238.0,0.81503904,II_V19,42.0,train
3357.0,0.9407348,IIn,42.0,train
2385.0,0.686542,IIn,42.0,train
4957.0,0.6398128000000001,IIn,42.0,train
2551.0,0.56617194,II_V19,42.0,train
6752.0,0.31847784,II-NMF,42.0,train
4691.0,0.18403527,II-NMF,42.0,train
519.0,0.25457260000000004,II-NMF,42.0,train
7764.0,0.26203468,II-NMF,42.0,train
4303.0,0.23385441,II-NMF,42.0,train
2625.0,0.62216276,II_V19,42.0,train
7608.0,0.30899945,IIn,42.0,train
8166.0,1.0825322,IIn,42.0,train
1590.0,0.20458929,II-NMF,42.0,train
5447.0,0.30560023,II-NMF,42.0,train
3666.0,0.758884,II_V19,42.0,train
6433.0,0.11183562,II_V19,42.0,train
3187.0,0.3974748,II-NMF,42.0,train
1801.0,0.15940131,II-NMF,42.0,train
5532.0,0.109442085,II-NMF,42.0,train
6079.0,0.55227685,II_V19,42.0,train
1495.0,0.7226921,IIn,42.0,train
7220.0,0.24941234,II-NMF,42.0,train
2436.0,0.77113116,IIn,42.0,train
881.0,0.069191195,II-NMF,42.0,train
8167.0,0.32573578,II-NMF,42.0,train
4478.0,0.54769635,II_V19,42.0,train
4809.0,0.5724134,IIn,42.0,train
8632.0,0.2875709,II-NMF,42.0,train
8718.0,0.22320628,II-NMF,42.0,train
8330.0,0.3469815,II_V19,42.0,train
1563.0,0.5971826,II_V19,42.0,train
2397.0,0.35542056,II-NMF,42.0,train
5376.0,0.30947617,II-NMF,42.0,train
1447.0,0.21793604,II-NMF,42.0,train
437.0,0.19441195,II-NMF,42.0,train
8553.0,0.8824613000000001,IIn,42.0,train
6109.0,0.11287726,II-NMF,42.0,train
6450.0,0.33888674,II_V19,42.0,train
2377.0,0.27237523,II_V19,42.0,train
3546.0,0.26993490000000003,II-NMF,42.0,train
805.0,0.61638534,IIn,42.0,train
6146.0,0.51142955,II_V19,42.0,train
7583.0,0.603101,IIn,42.0,train
2514.0,0.27864698,II-NMF,42.0,train
7704.0,0.3748681,IIn,42.0,train
6766.0,0.8800435,II_V19,42.0,train
2218.0,0.34072512,IIn,42.0,train
2913.0,0.67229164,IIn,42.0,train
7465.0,0.24826038,II-NMF,42.0,train
8455.0,0.59040713,II_V19,42.0,train
987.0,0.38436487,II_V19,42.0,train
2821.0,0.28315103,II-NMF,42.0,train
8480.0,0.32201722,IIn,42.0,train
1142.0,0.3171514,II-NMF,42.0,train
8336.0,0.53525025,II_V19,42.0,train
7598.0,0.3646735,IIn,42.0,train
1898.0,0.5159507000000001,II_V19,42.0,train
4269.0,0.5509616,II_V19,42.0,train
2384.0,0.3916684,II_V19,42.0,train
8181.0,0.22082494,IIn,42.0,train
6596.0,0.53463554,IIn,42.0,train
8130.0,0.27973717,II-NMF,42.0,train
4350.0,0.40510872,IIn,42.0,train
4613.0,0.66860986,IIn,42.0,train
8402.0,0.24258696,IIn,42.0,train
4207.0,0.26069137,II-NMF,42.0,train
7522.0,0.4444856,II_V19,42.0,train
7905.0,0.34163663,II-NMF,42.0,train
1154.0,0.14163464,II-NMF,42.0,train
596.0,0.44693774,II_V19,42.0,train
4853.0,0.62138826,IIn,42.0,train
4.0,0.3263696,II-NMF,42.0,train
2457.0,0.4040986,II_V19,42.0,train
2760.0,0.2696854,II_V19,42.0,train
584.0,0.21728547,II-NMF,42.0,train
447.0,0.52169824,IIn,42.0,train
1581.0,0.73048836,II_V19,42.0,train
8403.0,0.42130408,II-NMF,42.0,train
8630.0,0.6229252,II_V19,42.0,train
2230.0,0.4150228,II-NMF,42.0,train
6362.0,0.3404612,II_V19,42.0,train
907.0,0.5848808000000001,II_V19,42.0,train
92.0,0.09215145,II_V19,42.0,train
2896.0,0.18633923,II-NMF,42.0,train
5641.0,0.14980341,IIn,42.0,train
1734.0,0.11703449,II_V19,42.0,train
1359.0,0.20985211,II_V19,42.0,train
3585.0,0.28880900000000004,II-NMF,42.0,train
7418.0,0.44539726,II_V19,42.0,train
36.0,0.2905075,II-NMF,42.0,train
6962.0,0.4329961,IIn,42.0,train
5105.0,0.2523689,II-NMF,42.0,train
8741.0,1.1262242,IIn,42.0,train
986.0,0.18486534,II_V19,42.0,train
383.0,0.19659099,II-NMF,42.0,train
7091.0,0.3454434,II-NMF,42.0,train
2999.0,0.25564554,II-NMF,42.0,train
4161.0,0.25188863,II-NMF,42.0,train
4721.0,0.36943334,II-NMF,42.0,train
7457.0,0.2908873,II-NMF,42.0,train
4510.0,0.18936934,II_V19,42.0,train
2777.0,0.25828135,II-NMF,42.0,train
5337.0,0.43654308,II_V19,42.0,train
6756.0,0.3505627,II-NMF,42.0,train
5215.0,1.0763403,IIn,42.0,train
6966.0,0.37495175,II_V19,42.0,train
4685.0,0.278733,IIn,42.0,train
4297.0,0.17877494,II-NMF,42.0,train
3488.0,0.6018963,II_V19,42.0,train
57.0,0.50335896,IIn,42.0,train
3383.0,0.35007054,II-NMF,42.0,train
6001.0,0.33695623,IIn,42.0,train
3017.0,0.35673818,II-NMF,42.0,train
5183.0,0.40045574,II_V19,42.0,train
3943.0,0.30621934,II_V19,42.0,train
6485.0,1.0313292,IIn,42.0,train
3693.0,0.30172598,II_V19,42.0,train
547.0,0.36866528,II_V19,42.0,train
4311.0,0.97771215,IIn,42.0,train
8419.0,0.49866956,II_V19,42.0,train
8479.0,0.3200644,IIn,42.0,train
3473.0,0.58869565,II_V19,42.0,train
2127.0,0.26076132,II-NMF,42.0,train
1298.0,0.21966013,II-NMF,42.0,train
765.0,0.30801985,II-NMF,42.0,train
8881.0,0.21648984,II-NMF,42.0,train
7218.0,0.023387684,II_V19,42.0,train
8422.0,0.22716860000000005,II-NMF,42.0,train
1836.0,0.40649965,IIn,42.0,train
5497.0,0.20839195,II-NMF,42.0,train
7308.0,0.13594784,II_V19,42.0,train
8072.0,0.4844822,II_V19,42.0,train
1936.0,0.6968211,II_V19,42.0,train
3240.0,0.41569108,II_V19,42.0,train
2043.0,0.39358392,II_V19,42.0,train
7217.0,0.19045411,IIn,42.0,train
1627.0,1.0507498,IIn,42.0,train
6554.0,0.2745466,II-NMF,42.0,train
6367.0,0.3970743,II_V19,42.0,train
5553.0,0.24654424,II-NMF,42.0,train
2918.0,0.14508125,II-NMF,42.0,train
2080.0,0.8572629999999999,II_V19,42.0,train
2157.0,0.28338113,IIn,42.0,train
7914.0,0.31609187,IIn,42.0,train
455.0,0.5455483,II_V19,42.0,train
7017.0,0.30193055,IIn,42.0,train
2781.0,0.7097608,II_V19,42.0,train
2324.0,0.38170928,II-NMF,42.0,train
621.0,0.22452863,II_V19,42.0,train
7267.0,0.63365024,II_V19,42.0,train
6294.0,0.1612146,II-NMF,42.0,train
7208.0,0.24849586,II-NMF,42.0,train
2158.0,0.32572937,IIn,42.0,train
5828.0,0.64105064,II_V19,42.0,train
4310.0,0.8002187,II_V19,42.0,train
1065.0,0.4639949,II_V19,42.0,train
8044.0,0.36773428,IIn,42.0,train
2109.0,0.787975,II_V19,42.0,train
2872.0,0.15742409,II-NMF,42.0,train
6082.0,0.25880247,II-NMF,42.0,train
8827.0,0.22518504,II_V19,42.0,train
4037.0,0.27285278,II-NMF,42.0,train
6213.0,0.14292306,II_V19,42.0,train
4599.0,0.39116263,II_V19,42.0,train
6256.0,0.21894777,II_V19,42.0,train
833.0,0.5466575,II_V19,42.0,train
5663.0,0.16291037,II_V19,42.0,train
1833.0,0.6632912,II_V19,42.0,train
8375.0,0.6265137,II_V19,42.0,train
235.0,0.2273109,II-NMF,42.0,train
6684.0,0.23724236,II_V19,42.0,train
4960.0,0.1432704,II_V19,42.0,train
8143.0,0.2934664,II-NMF,42.0,train
5496.0,0.17960334,II-NMF,42.0,train
6671.0,0.08429521,II_V19,42.0,train
7396.0,0.90385187,IIn,42.0,train
2448.0,0.41355377,II-NMF,42.0,train
759.0,0.34360334,II_V19,42.0,train
2278.0,0.22682737,II-NMF,42.0,train
3031.0,0.23631646,IIn,42.0,train
8466.0,0.3560007,II-NMF,42.0,train
4797.0,0.75270474,II_V19,42.0,train
6529.0,0.37663543,IIn,42.0,train
7863.0,0.55446124,IIn,42.0,train
4723.0,0.5642235,II_V19,42.0,train
2789.0,0.87042046,IIn,42.0,train
6076.0,0.4128151,IIn,42.0,train
1547.0,0.3052581,II-NMF,42.0,train
8937.0,0.4204603,IIn,42.0,train
847.0,0.42926544,II_V19,42.0,train
2696.0,0.30281296,II-NMF,42.0,train
7240.0,0.5228477,II_V19,42.0,train
4981.0,0.29088348,II_V19,42.0,train
5642.0,0.26638877,II-NMF,42.0,train
679.0,0.44206774,IIn,42.0,train
4146.0,0.4753468,II_V19,42.0,train
4442.0,0.25741568,II-NMF,42.0,train
6652.0,0.22066972,II-NMF,42.0,train
6071.0,0.24924381,II_V19,42.0,train
7008.0,0.21383478,II-NMF,42.0,train
8749.0,0.5939272,IIn,42.0,train
6710.0,0.31738913,IIn,42.0,train
3628.0,0.3054998,II-NMF,42.0,train
8063.0,0.16934802,II_V19,42.0,train
7617.0,0.53202415,II_V19,42.0,train
7673.0,0.27724183,II-NMF,42.0,train
3953.0,0.22115836,II_V19,42.0,train
7486.0,0.18513615,II_V19,42.0,train
7176.0,0.2296121,IIn,42.0,train
250.0,0.4817914000000001,II_V19,42.0,train
1609.0,0.20067562,II_V19,42.0,train
4712.0,0.36004555,II-NMF,42.0,train
1049.0,0.7818576,IIn,42.0,train
968.0,0.27492058,IIn,42.0,train
545.0,0.4947346,IIn,42.0,train
1056.0,0.34655902,II-NMF,42.0,train
2849.0,0.6200168,II_V19,42.0,train
541.0,0.27333748,II-NMF,42.0,train
7019.0,0.09738409,II-NMF,42.0,train
8746.0,0.3526916,II-NMF,42.0,train
3587.0,0.17036322,II-NMF,42.0,train
3733.0,0.47029284,IIn,42.0,train
7165.0,0.30907595,II-NMF,42.0,train
5112.0,0.2651855,II-NMF,42.0,train
133.0,0.8995257999999999,IIn,42.0,train
1086.0,0.44480065,II_V19,42.0,train
936.0,0.1390732,II_V19,42.0,train
6521.0,0.23445688,II-NMF,42.0,train
8242.0,0.25469202,II-NMF,42.0,train
6231.0,0.5697919,II_V19,42.0,train
5692.0,0.21703719,II-NMF,42.0,train
3507.0,0.20589551,II-NMF,42.0,train
5241.0,0.682239,II_V19,42.0,train
3964.0,0.49893352,IIn,42.0,train
8536.0,0.6599983,II_V19,42.0,train
4776.0,0.69060236,IIn,42.0,train
48.0,0.7649925999999999,II_V19,42.0,train
8409.0,0.6300209,II_V19,42.0,train
6234.0,0.30556554,II_V19,42.0,train
8752.0,0.2980426,II-NMF,42.0,train
8867.0,0.47815943,II_V19,42.0,train
5528.0,0.38031265,II-NMF,42.0,train
7682.0,0.41709623,IIn,42.0,train
1103.0,0.92998135,IIn,42.0,train
88.0,0.22957325,II-NMF,42.0,train
8799.0,0.19304346,IIn,42.0,train
2682.0,0.8027880000000001,II_V19,42.0,train
69.0,0.2053669,II-NMF,42.0,train
7394.0,0.41658077,II-NMF,42.0,train
3007.0,0.34400716,IIn,42.0,train
4051.0,0.21051773,II-NMF,42.0,train
1778.0,0.6363726,IIn,42.0,train
2344.0,0.533996,II_V19,42.0,train
8598.0,0.23778453,II-NMF,42.0,train
3297.0,0.34464,II_V19,42.0,train
2985.0,0.77409196,II_V19,42.0,train
1171.0,0.5972161,II_V19,42.0,train
5835.0,0.77860564,IIn,42.0,train
5549.0,0.24975166,II-NMF,42.0,train
4242.0,0.11106955,II-NMF,42.0,train
2458.0,0.67781967,IIn,42.0,train
3234.0,0.35300472,II_V19,42.0,train
3763.0,0.11689032,IIn,42.0,train
608.0,0.34114236,II-NMF,42.0,train
438.0,0.33733752,II-NMF,42.0,train
6075.0,0.25364378,II-NMF,42.0,train
2439.0,0.69133526,II_V19,42.0,train
6737.0,0.37419486,II_V19,42.0,train
1079.0,0.52984643,IIn,42.0,train
6814.0,0.86319757,IIn,42.0,train
4123.0,0.2376716,II-NMF,42.0,train
7198.0,0.78632987,II_V19,42.0,train
373.0,0.31948924,II-NMF,42.0,train
2076.0,0.73845035,IIn,42.0,train
5898.0,0.4237039000000001,II-NMF,42.0,train
8689.0,0.13679655,II_V19,42.0,train
5484.0,0.5280296999999999,II_V19,42.0,train
2743.0,0.25100967,II-NMF,42.0,train
2676.0,0.24386685,II-NMF,42.0,train
8298.0,0.23004371,II_V19,42.0,train
3295.0,0.26012027,II-NMF,42.0,train
4734.0,0.30724996,II-NMF,42.0,train
8486.0,0.6518544,II_V19,42.0,train
3779.0,0.5305734999999999,IIn,42.0,train
3621.0,0.28523459999999995,II-NMF,42.0,train
6833.0,0.2673031,II-NMF,42.0,train
3023.0,0.5433164,II_V19,42.0,train
533.0,0.3283888,II-NMF,42.0,train
488.0,0.9077682,IIn,42.0,train
434.0,0.86063975,II_V19,42.0,train
261.0,1.0203285,IIn,42.0,train
4451.0,0.3977195,IIn,42.0,train
5613.0,0.5188935,IIn,42.0,train
6356.0,0.6128704,II_V19,42.0,train
4623.0,0.7562300000000001,II_V19,42.0,train
5463.0,0.5948743000000001,IIn,42.0,train
7538.0,0.66364455,II_V19,42.0,train
5805.0,0.22144474,II-NMF,42.0,train
3491.0,0.5887375,IIn,42.0,train
6534.0,0.22173962,II-NMF,42.0,train
1769.0,0.304812,II_V19,42.0,train
1760.0,0.14306570000000002,II-NMF,42.0,train
6276.0,0.6126052,II_V19,42.0,train
5887.0,0.784474,IIn,42.0,train
625.0,0.23800519,II_V19,42.0,train
6074.0,0.39969996,IIn,42.0,train
8922.0,0.743718,II_V19,42.0,train
3325.0,0.50176924,II_V19,42.0,train
3730.0,0.24638754,II_V19,42.0,train
2978.0,0.6577225,IIn,42.0,train
7440.0,0.14023958,II-NMF,42.0,train
4177.0,0.21530129,IIn,42.0,train
4858.0,0.21224731,II-NMF,42.0,train
4120.0,0.28122526,II-NMF,42.0,train
2943.0,0.29217818,II-NMF,42.0,train
5637.0,0.24608690000000005,II-NMF,42.0,train
5064.0,0.50229037,II_V19,42.0,train
6482.0,0.23067035,IIn,42.0,train
1284.0,0.55307496,II_V19,42.0,train
7092.0,0.45677555,II_V19,42.0,train
70.0,0.71241367,IIn,42.0,train
6136.0,0.27969974,IIn,42.0,train
5495.0,0.2036796,II-NMF,42.0,train
5746.0,0.5599997,II_V19,42.0,train
4351.0,0.69961894,IIn,42.0,train
4704.0,0.21554537,II_V19,42.0,train
6936.0,0.2222499,II-NMF,42.0,train
2428.0,0.29711077,II-NMF,42.0,train
2219.0,0.60335785,IIn,42.0,train
1420.0,0.39647645,II_V19,42.0,train
8778.0,0.6969932,II_V19,42.0,train
367.0,0.31038216,II-NMF,42.0,train
5723.0,0.35845217,II-NMF,42.0,train
582.0,0.543705,II_V19,42.0,train
60.0,0.34572527,II_V19,42.0,train
3613.0,0.752286,IIn,42.0,train
1858.0,0.26774478,II-NMF,42.0,train
7062.0,0.44530475,II_V19,42.0,train
7299.0,0.27501202,IIn,42.0,train
6021.0,0.26522136,II-NMF,42.0,train
7832.0,0.24430355,II-NMF,42.0,train
7591.0,0.54978275,IIn,42.0,train
8125.0,0.24830464,II-NMF,42.0,train
8140.0,0.37419474,II-NMF,42.0,train
8158.0,0.31969234,II-NMF,42.0,train
3534.0,0.3580198,IIn,42.0,train
6101.0,0.86771154,II_V19,42.0,train
3298.0,0.8462443000000001,II_V19,42.0,train
4642.0,0.35012692,IIn,42.0,train
2579.0,0.15385196,II-NMF,42.0,train
5102.0,0.34914804,II-NMF,42.0,train
7728.0,0.6405673000000001,II_V19,42.0,train
7599.0,0.3615178,II-NMF,42.0,train
6352.0,0.548693,IIn,42.0,train
1746.0,0.29631248,II_V19,42.0,train
6957.0,0.25753024,II-NMF,42.0,train
5512.0,0.41067234,II-NMF,42.0,train
5799.0,0.36580235,IIn,42.0,train
6054.0,0.6569864000000001,IIn,42.0,train
6800.0,0.26472670000000004,II-NMF,42.0,train
2314.0,0.8637117,IIn,42.0,train
3425.0,0.5534111999999999,II_V19,42.0,train
3135.0,0.560557,II_V19,42.0,train
3051.0,0.21161096,II-NMF,42.0,train
4422.0,0.28638232,II-NMF,42.0,train
7408.0,0.26352018,II-NMF,42.0,train
225.0,0.24189827,II-NMF,42.0,train
4391.0,0.760472,II_V19,42.0,train
1362.0,0.52387345,IIn,42.0,train
